Level	Course ID	Course Name	Pre-requisite	credit value	link
1	COMP1001	Problem Solving Methodology in Information Technology	Null	3	https://www.comp.polyu.edu.hk/files/COMP1001_Problem_Solving_Methodology_in_Information_Technology_Sept15.pdf
1	COMP1002	Computational Thinking and Problem Solving	Null	4	https://www.comp.polyu.edu.hk/files/COMP1002_Computational_Thinking_and_Problem_Solving_Aug2019.pdf
1	COMP1003	Statistical Tools and Applications	Null	1	http://www.comp.polyu.edu.hk/files/COMP1003.pdf
1	COMP1011	Programming Fundamentals	Null	3	https://www.comp.polyu.edu.hk/files/COMP1011_Programming_Fundamentals_Dec2018.pdf
1	COMP1411	Introduction to Computer Systems	Null	3	https://www.comp.polyu.edu.hk/files/COMP1411_Introduction_to_Computer_Systems_Mar2019.pdf
1	COMP1433	Introduction to Data Analytics	Null	3	https://www.comp.polyu.edu.hk/files/COMP1433_Introduction_to_Data_Analytics_Aug2019.pdf
1	COMP1901	Seminars and Topics in Information Technology	Null	3	https://www.comp.polyu.edu.hk/files/COMP1901_Seminars_and_Topics_in_Information_Technology_Aug2020.pdf
1	COMP1B02	Friends, Followers and Circles Connections in a Socially-Computed World	Null	3	https://www.comp.polyu.edu.hk/files/COMP1B02.pdf
1	COMP1B03	Innovation and Entrepreneurship The Rise of the ICT Industry in China	Null	3	https://www.comp.polyu.edu.hk/files/COMP1B03.pdf
1	COMP1D04	From Scratch to Apps Foundations of Computational Thinking and Literacy for Problem Solving	Null	3	https://www.comp.polyu.edu.hk/files/COMP1D04_From_Scratch_to_Apps_Foundations_of_Computational_Thinking_and_Literacy_for_Problem_Solving_July2015.pdf
2	COMP2011	Data Structures	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP2011_Data_Structures_Aug2019.pdf
2	COMP2012	Discrete Mathematics	Null	3	https://www.comp.polyu.edu.hk/files/COMP2012_Discrete_Mathematics_Dec2018.pdf
2	COMP2021	Object-oriented Programming	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP2021_Object-oriented_Programming_Dec2018.pdf
2	COMP2022	Programming for FinTech Applications	COMP1001	3	https://www.comp.polyu.edu.hk/files/COMP2022.pdf
2	COMP2121	E-Business	Null	3	https://www.comp.polyu.edu.hk/files/COMP2121_E-Business_Dec2018.pdf
2	COMP2222	Introduction to Human Computer Interaction Methods	Null	3	https://www.comp.polyu.edu.hk/files/COMP2222.pdf
2	COMP2322	Computer Networking	Null	3	https://www.comp.polyu.edu.hk/files/COMP2322_Computer_Networking_Dec2018.pdf
2	COMP2411	Database Systems	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP2411_Database_Systems_Dec2018.pdf
2	COMP2421	Computer Organization	Null	3	https://www.comp.polyu.edu.hk/files/COMP2421_Computer_Organization_Dec2018.pdf
2	COMP2422	Visual Interface and Interaction Development	COMP2011,COMP2021	3	https://www.comp.polyu.edu.hk/files/COMP2422.pdf
2	COMP2432	Operating Systems 	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP2432_Operating_Systems_Dec2018.pdf
2	COMP2A01	Whose Data is it Anyway Information and Internet Ethics, Privacy and Security 	Null	3	https://www.comp.polyu.edu.hk/files/COMP2A01.pdf
2	COMP2S01	(COMP2S01S) Technology Beyond Borders: Service Learning across Cultural, Ethnic and Community Lines 	Null	3	https://www.comp.polyu.edu.hk/files/COMP2S01_COMP2S01S__Technology_Beyond_Borders_Service_Learning_across_Cu_.pdf
3	COMP3011	Design Analysis of Algorithms	COMP2011 or EIE3302	3	https://www.comp.polyu.edu.hk/files/COMP3011_Design_Analysis_of_Algorithms_Dec2020_0.pdf
3	COMP3021	Programming Language Paradigms	COMP2011 or equivalent	3	https://www.comp.polyu.edu.hk/files/COMP3021_Programming_Language_Paradigms_Dec2016.pdf
3	COMP3121	Social and Collaborative Computing	Null	3	https://www.comp.polyu.edu.hk/files/COMP3121_Social_and_Collaborative_Computing_Jan2019.pdf
3	COMP3122	Information Systems Development	COMP2411	3	https://www.comp.polyu.edu.hk/files/COMP3122_Information_Systems_Development_Dec2018.pdf
3	COMP3131	Business and Information Systems Strategies	Null	3	https://www.comp.polyu.edu.hk/files/COMP3131_Business_and_Information_Systems_Strategies_Aug2020.pdf
3	COMP3133	Chinese Language Processing	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP3133_Chinese_Language_Processing_Jan2019.pdf
3	COMP3134	Business Intelligence and Customer Relationship Management	Null	3	https://www.comp.polyu.edu.hk/files/COMP3134_Business_Intelligence_and_Customer_Relationship_Management_Jan2019.pdf
3	COMP3211	Software Engineering	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP3211_Software_Engineering_Dec2018.pdf
3	COMP3233	Software Design Principles	COMP 2011, COMP 2021	3	http://www.comp.polyu.edu.hk/files/COMP3222.pdf
3	COMP3235	Software Project Management	Null	3	https://www.comp.polyu.edu.hk/files/COMP3235_Software_Project_Management_Jan2019.pdf
3	COMP3334	Computer Systems Security	COMP2432	3	https://www.comp.polyu.edu.hk/files/COMP3334_Computer_Systems_Security_Jan2019.pdf
3	COMP3335	Database Security	COMP2411 or equivalent	3	https://www.comp.polyu.edu.hk/files/COMP3335_Database_Security_Jan2019.pdf
3	COMP3421	Web Application Design and Development	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP3421_Web_Application_Design_and_Development_Jan2019.pdf
3	COMP3422	Creative Digital Media Design	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP3422_Creative_Digital_Media_Design_Jan2019.pdf
3	COMP3423	Human Computer Interaction	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP3423_Human_Computer_Interaction_Dec2020.pdf
3	COMP3432	Innovative Computing Paradigms	COMP 2011, COMP 2021	3	http://www.comp.polyu.edu.hk/files/COMP3432.pdf
3	COMP3438	System Programming	COMP2432	3	https://www.comp.polyu.edu.hk/files/COMP3438_System_Programming_Dec2018.pdf
